ref_id,sys_id,diet,w_ini,w_fin,days,notes,
num,num,char,g,g,num,num,
1,1,D1,3.6,30.2,84,verified,
1,1,D2,3.6,30.8,84,verified,
1,1,D3,3.5,30.8,84,verified,
1,1,D4,3.5,31.8,84,verified,
1,1,D5,3.5,29.5,84,verified,
2,1,CH,10.1,83.9,56,verified, 
2,1,CM,10.1,86.5,56,verified,
2,1,CL,10.1,84.1,56,verified,
3,1,U0,21.43,124.16,75,verified,
3,1,U1,21.42,123.65,75,verified,
3,1,U2,21.47,121.28,75,verified,
3,1,U3,21.38,94.61,75,verified,
4,1,FO,8.43,77.48,63,verified,
4,1,MIX-S,8.43,63.21,63,verified,
4,1,MIX-SL,8.43,59.84,63,verified,
4,1,MIX-L,8.43,56.56,63,verified,
4,2,FO,9.26,37.99,84,verified,
4,2,MIX-S,9.26,32.19,84,verified,
4,2,MIX-SL,9.26,29.64,84,verified,
4,2,MIX-L,9.26,31.04,84,verified,
5,1,FM,9.5,22,50,verified,
5,1,FM+11KT,9.5,24,50,verified,
5,1,SM,9.5,18.75,50,verified,
5,1,SM+11KT,9.5,18.75,50,verified,
6,1,CF 100% (E1T1),2.0,19.3,56,verified,
6,1,WBF 25% (E1T2),2.0,18.6,56,verified,
6,1,WBF 50% (E1T3),2.0,17.4,56,verified,
6,1,WBF 75% (E1T4),2.0,14.9,56,verified,
6,1,WBF 100% (E1T5),2.0,9.9,56,verified,
6,2,6:0 (E2T1),2.3,16.1,56,verified,
6,2,5:1 (E2T2),2.3,15.2,56,verified,
6,2,4:2 (E2T3),2.3,14.2,56,verified,
6,2,3:3 (E2T4),2.3,13.2,56,verified,
6,2,2:4 (E2T5),2.3,12.2,56,verified,
6,2,1:5 (E2T6),2.3,10.6,56,verified,
6,2,0:6 (E2T7),2.3,7.8,56,verified,
7,1,FO,19.87,516.8,150,verified,
7,1,FO+CPO,19.96,478.81,150,verified,
7,1,LO+CPO,20.01,484.44,150,verified,
7,1,CPO,19.68,455.15,150,verified,
7,1,SBO,19.74,479.19,150,verified,
7,2,FO,408,573.5,90,verified,
7,2,FO+CPO,361,506.67,90,verified,
7,2,LO+CPO,387,548.67,90,verified,
7,2,CPO,359,540,90,verified,
7,2,SBO,377,514.17,90,verified,
8,1,D1,2.5,33,184,verified,
8,1,D2,2.5,39,184,verified,
8,1,D3,2.5,32,184,verified,
8,1,D4,2.5,45,184,verified,
9,1,A (20%DDGS),31.59,265.67,120,verified,
9,1,B (30%DDGS),31.59,242,120,verified,
9,1,C (40%DDGS),31.59,278,120,verified,
9,1,Commercial feed,31.59,245.67,120,verified,
10,1,Commercial feed,1.59,15.68,63,verified,
10,1,Spirulina,1.59,11.49,63,verified,
11,1,Fish meal,1.84,6.94,56,verified,
11,1,Soyabean meal,1.84,7.43,56,verified,
11,1,Cassava peel/palm wine biomass,1.84,5.8,56,verified,
12,1,T0,0.024,1.18,60,verified,
12,1,T0.5,0.024,1.61,60,verified,
12,1,T1,0.024,1.94,60,verified,
12,1,T1.5,0.024,1.46,60,verified,
13,1,Diet1-PC,1.7,73.3,70,verified,
13,1,Diet2-NC,1.7,67.9,70,verified,
13,1,Diet3,1.71,76.1,70,verified,
13,1,Diet4,1.71,77.5,70,verified,
13,1,Diet5,1.7,81.2,70,verified,
13,1,Diet6,1.7,80.5,70,verified,
13,1,Diet7,1.7,83.6,70,verified,
14,1,FM,5.34,114.44,85,verified,
14,1,NS,5.36,27.91,85,verified,
14,1,EA,5.27,30.1,85,verified,
14,1,DP,5.24,98.87,85,verified,
14,1,DP+EA,5.47,114.97,85,verified,
15,1,Lys 11.1,277.6,550.13,40,verified,
15,1,Lys 12.5,274.09,547.54,40,verified,
15,1,Lys 13.9,272.94,548.01,40,verified,
15,1,Lys 15.1,275.71,570.57,40,verified,
15,1,Lys 16.4,274.13,547.89,40,verified,
16,1,D0.95,2.94,23.34,85,verified,
16,1,D1.10,2.98,63.42,85,verified,
16,1,D1.25,2.94,58.64,85,verified,
16,1,D1.40,2.94,60.53,85,verified,
16,1,D1.55,2.93,62.27,85,verified,
17,1,CHO-L,1.4,47.6,116,data does not align with procedure,
17,1,CHO-M,1.4,57,116,data does not align with procedure,
17,1,CHO-H,1.4,40.5,116,data does not align with procedure,
17,2,CHO-L,1.4,241.2,120,data does not align with procedure,
17,2,CHO-M,1.4,270.3,120,data does not align with procedure,
17,2,CHO-H,1.4,209.8,120,data does not align with procedure,
18,1,CON,0.939,8.991,70,verified,
18,1,G10,0.93,10.201,70,verified,
18,1,G20,0.935,9.655,70,verified,
18,1,G30,0.940,7.003,70,verified,
18,1,G40,0.933,7.854,70,verified,
18,1,G50,0.930,5.263,70,verified,
19,1,D06-050,7.16,89.45,84,verified,
19,1,D06-100,7.16,89.26,84,verified,
19,1,D06-200,7.16,83.11,84,verified,
19,1,D10-050,7.16,88.1,84,verified,
19,1,D10-100,7.16,87.37,84,verified,
19,1,D10-200,7.16,83.28,84,verified,
19,1,D14-050,7.16,79.85,84,verified,
19,1,D14-100,7.16,84.53,84,verified,
19,1,D14-200,7.16,83.85,84,verified,
20,1,Control,19.65,38.01,84,verified,
20,1,SF5,19.65,37.85,84,verified,
20,1,SF7,19.56,35.60,84,verified,
20,1,SF10,19.42,34.75,84,verified,
21,1,CHO35/LIP9,157.54,520.12,120,verified,
21,1,CHO39/LIP8,157.54,548.98,120,verified,
21,1,CHO43/LIP7,157.54,554.56,120,verified,
21,1,CHO47/LIP6,157.54,547.61,120,verified,
22,1,250P,8.01,52.82,56,verified,
22,1,280P,7.98,56.26,56,verified,
22,1,310P,8.01,62.98,56,verified,
22,1,250E,7.96,55.21,56,verified,
22,1,280E,8.01,61.16,56,verified,
22,1,310E,8.01,62.57,56,verified,
23,1,Fry 25%,0.45,5.10,70,verified,
23,1,Fry 35%,0.45,7.70,70,verified,
23,1,Fry 45%,0.45,10.3,70,verified,
23,2,Fingerling 25%,19.5,41.10,70,verified,
23,2,Fingerling 35%,19.5,45.20,70,verified,
23,2,Fingerling 45%,19.5,44.30,70,verified,
23,3,Juvenile 25%           ,40,58.60,70,verified,
23,3,Juvenile 35%           ,40,64.70,70,verified,
23,3,Juvenile 45%           ,40,62.90,70,verified,
24,1,T20/0,0.20,7.62,70,verified,
24,1,T20/15,0.25,6.97,70,verified,
24,1,T20/20,0.23,6.48,70,verified,
24,1,T20/25,0.28,8.27,70,verified,
24,2,T30/0,0.29,9.53,70,verified,
24,2,T30/15,0.24,9.11,70,verified,
24,2,T30/20,0.23,13.15,70,verified,
24,2,T30/25,0.29,13.69,70,verified,
24,3,T40/0,0.23,12.88,70,verified,
24,3,T40/15,0.21,12.27,70,verified,
24,3,T40/20,0.27,16.00,70,verified,
24,3,T40/25,0.24,16.87,70,verified,
24,4,T50/0,0.27,17.95,70,verified,
24,4,T50/15,0.25,13.54,70,verified,
24,4,T50/20,0.25,13.45,70,verified,
24,4,T50/25,0.27,14.88,70,verified,
25,1,D21%,1.24,9.55,42,verified,
25,1,D25%,1.25,10.45,42,verified,
25,1,D32%,1.21,13.87,42,verified,
25,1,D37%,1.24,14.92,42,verified,
25,1,D45%,1.26,9.97,42,verified,
26,1,D0.0,0.33,7.22,84,verified,
26,1,D0.25,0.34,8.00,84,verified,
26,1,D0.5,0.34,8.50,84,verified,
26,1,D1.0,0.33,9.90,84,verified,
26,1,D2.0,0.33,10.05,84,verified,
26,1,D5.0,0.32,10.00,84,verified,
27,1,D0.0,1.9,14.5,70,verified,
27,1,D0.5,1.9,14.5,70,verified,
27,1,D1.0,1.9,14,70,verified,
27,1,D2.0,1.9,12.5,70,verified,
27,1,D5.0,1.9,11.2,70,verified,
28,1,CO,0.91,4.50,90,verified,
28,1,CEO1,0.91,5.26,90,verified,
28,1,CEO3,0.91,4.70,90,verified,
28,1,CEO5,0.91,4.68,90,verified,
29,1,P0,15.27,34.84,60,verified,
29,1,P1,15.38,35.23,60,verified,
29,1,P2,15.51,37.72,60,verified,
29,1,P4,15.42,37.15,60,verified,
29,1,P8,15.56,34.94,60,verified,
30,1,Control,34.50,138.04,49,verified,
30,1,Enzymes,34.54,139.49,49,verified,
30,1,Probiotics,34.60,136.61,49,verified,
30,1,Enz-pro,34.61,143.42,49,verified,
31,1,D1 (Control),7.00,21.85,90,verified,
31,1,D2 (malic + oxalic 1:1) 0.5%,7.10,24.55,90,verified,
31,1,D3 (mali c+ oxalic 1:1) 1.0%,7.00,25.45,90,verified,
31,1,D4 (malic + oxalic 1:1) 1.5%,7.15,24.4,90,verified,
31,1,D5 (Ca-lactate + Na-acetate 1:1) 0.5%,6.90,22.85,90,verified,
31,1,D6 (Ca-lactate + Na-acetate 1:1) 1.0%,7.05,23.65,90,verified,
31,1,D7 (Ca-lactate + Na-acetate 1:1) 1.5%,7.20,24.55,90,verified,
32,1,D0.0,3.6,24.6,84,verified,
32,1,D5,3.6,29,84,verified,
32,1,D10,3.6,32.3,84,verified,
32,1,D15,3.6,30.1,84,verified,
32,1,D20,3.6,28.4,84,verified,
33,1,T-1,33.66,207.9,120,verified,
33,1,T-2,33.66,271.48,120,verified,
33,1,T-3,33.66,240.07,120,verified,
34,1,Control,12.87,24.03,60,verified,
34,1,0.5% CEO,12.87,24.19,60,verified,
34,1,0.75% CEO,12.87,24.57,60,verified,
34,1,1% CEO,12.87,24.28,60,verified,
35,1,AC-0,422.5,487.7,28,verified,
35,1,AC-10,416.3,503.2,28,verified,
35,1,AC-20,414.5,481.0,28,verified,
35,1,AC-30,407.5,471.3,28,verified,
36,1,Phytase control,0.74,19.1,60,verified,
36,1,Inorganic P control,0.74,34.6,60,verified,
36,1,100% MCP supplement,0.73,34.9,60,verified,
36,1,75% MCP supplement,0.74,34.6,60,verified,
36,1,50% MCP supplement,0.7,35.8,60,verified,
36,1,25% MCP supplement,0.77,30.8,60,verified,
36,1,0% MCP supplement,0.8,26.8,60,verified,
36,1,Pretreatment control,0.74,23.0,60,verified,
37,1,Control,26.1,196.49,120,verified,
37,1,0.5% Biogen,25.26,246.63,120,verified,
37,1,1.0% Biogen,24.19,249.25,120,verified,
37,1,1.2% Biogen,22.96,245.88,120,verified,
37,1,2.0% Biogen,25.19,252.25,120,verified,
38,1,T1,20.94,173.44,80,verified,
38,1,T2,23.67,166.38,80,verified,
38,1,T3,19.45,153.76,80,verified,
38,1,T4,25.53,159.35,80,verified,
38,1,T5,19.81,133.73,80,verified,
38,1,T6,18.09,136.38,80,verified,
39,1,Control,15.1,87.9,84,verified,
39,1,D1,15.2,89.3,84,verified,
39,1,D2,15.1,95.5,84,verified,
39,1,D3,15.0,90.8,84,verified,
40,1,Control,0.034,0.21,21,verified,
40,1,100 ug GHRP-6/kg feed,0.034,0.37,21,verified,
40,1,500 ug GHRP-6/kg feed,0.034,0.36,21,verified,
41,1,T1,12.67,78.13,98,verified,
41,1,T2,12.83,95.40,98,verified,
41,2,T3,12.67,101.83,98,verified,
41,3,T4,12.83,132.17,98,verified,
41,4,T5,12.67,115.00,98,verified,
41,5,T6,12.83,86.90,98,verified,
41,6,T7,12.67,81.00,98,verified,
42,1,T1 (control),23.10,37.6,58,verified,
42,1,T2 (control + papain),23.00,36.7,58,verified,
42,1,T3 (control + papaya leaves),23.10,39.3,58,verified,
42,1,T4 (sub of FSM + papain),23.50,31.1,58,verified,
42,1,T5 (sub of FSM + papaya leaves),23.00,34.4,58,verified,
42,2,T1 (control),30.5,49.2,58,verified,
42,2,T2 (control + papain),30,50.2,58,verified,
42,2,T3 (control + papaya leaves),30.2,51.2,58,verified,
42,2,T4 (sub of FSM + papain),30.5,48,58,verified,
42,2,T5 (sub of FSM + papaya leaves),30.2,46.6,58,verified,
43,1,SPH 0,1.68,27.18,45,verified,
43,1,SPH 15,1.72,29.46,45,verified,
43,1,SPH 30,1.75,26.02,45,verified,
43,1,SPH 60,1.81,25.19,45,verified,
44,1,chitin_0,0.99,5.50,56,verified,
44,1,chitin_2,0.99,4.45,56,verified,
44,1,chitin_5,0.99,4.34,56,verified,
44,1,chitin_10,0.99,3.89,56,verified,
44,1,chitosan_0,0.99,5.50,56,verified,
44,1,chitosan_2,0.99,3.78,56,verified,
44,1,chitosan_5,0.99,3.12,56,verified,
44,1,chitosan_10,0.99,3.01,56,verified,
45,1,Control,2.82,21.36,100,verified,
45,1,0.5% curcumin,2.85,34.63,100,verified,
45,1,1% curcumin,2.84,27.51,100,verified,
46,,Diet 1,181.21,160.47,28,,
46,,Diet 2,203.16,182.43,28,,
46,,Diet 3,217.98,197.31,28,,
46,,Diet 4,197.17,176.4,28,,
47,,100-28,8.51,169.9,84,,
47,,100-32,8.79,165.9,84,,
47,,200-28,8.77,184.3,84,,
47,,200-32,8.82,170.4,84,,
47,,300-28,8.81,176.1,84,,
47,,300-32,9.00,162.9,84,,
48,,Control,0.40,22.45,56,,
48,,32 M,0.40,14.46,56,,
48,,36 D,0.41,16.96,56,,
48,,36 F,0.40,16.78,56,,
48,,36 M,0.45,16.36,56,,
48,,40 M,0.45,15.14,56,,
48,,40 D,0.40,20.66,56,,
48,,40 F,0.41,17.49,56,,
49,,0,6.19,13.63,56,,
49,,1,6.25,14.65,56,,
49,,2,6.35,15.73,56,,
49,,3,6.40,14.40,56,,